Entity,Code,Year,Per capita CO2 emissions
South Korea,KOR,1964,0.786783
United Kingdom,GBR,1964,11.28122
United States,USA,1964,16.477322
Brazil,BRA,1965,0.675626
Canada,CAN,1965,12.834573
China,CHN,1965,0.655438
France,FRA,1965,7.223247
Germany,DEU,1965,12.590184
India,IND,1965,0.308384
Italy,ITA,1965,3.667558
Japan,JPN,1965,3.925678
Russia,RUS,1965,9.169555
South Korea,KOR,1965,0.864421
United Kingdom,GBR,1965,11.469398
United States,USA,1965,16.963525
Brazil,BRA,1966,0.749287
Canada,CAN,1966,12.969282
China,CHN,1966,0.702382
France,FRA,1966,7.060402
Germany,DEU,1966,12.385082
India,IND,1966,0.313155
Italy,ITA,1966,4.110064
Japan,JPN,1966,4.209457
Russia,RUS,1966,9.613915
South Korea,KOR,1966,1.013838
United Kingdom,GBR,1966,11.32648
United States,USA,1966,17.628775
Brazil,BRA,1967,0.750595
Canada,CAN,1967,13.856681
China,CHN,1967,0.56679
France,FRA,1967,7.501869
Germany,DEU,1967,12.102711
India,IND,1967,0.307033
Italy,ITA,1967,4.465313
Japan,JPN,1967,4.853181
Russia,RUS,1967,9.992403
South Korea,KOR,1967,1.161267
United Kingdom,GBR,1967,10.790767
United States,USA,1967,18.112838
Brazil,BRA,1968,0.854895
Canada,CAN,1968,14.668021
China,CHN,1968,0.596634
France,FRA,1968,7.698172
Germany,DEU,1968,12.650337
India,IND,1968,0.327936
Italy,ITA,1968,4.719617
Japan,JPN,1968,5.502258
Russia,RUS,1968,10.219567
South Korea,KOR,1968,1.204103
United Kingdom,GBR,1968,11.000459
United States,USA,1968,18.601528
Brazil,BRA,1969,0.907121
Canada,CAN,1969,14.607334
China,CHN,1969,0.714584
France,FRA,1969,8.211631
Germany,DEU,1969,13.44221
India,IND,1969,0.327106
Italy,ITA,1969,5.073106
Japan,JPN,1969,6.311504
Russia,RUS,1969,10.590774
South Korea,KOR,1969,1.346317
United Kingdom,GBR,1969,11.349201
United States,USA,1969,19.365895
Brazil,BRA,1970,0.983362
Canada,CAN,1970,15.962254
China,CHN,1970,0.930602
France,FRA,1970,8.660174
Germany,DEU,1970,13.057374
India,IND,1970,0.327736
Italy,ITA,1970,5.537558
Japan,JPN,1970,7.318883
Russia,RUS,1970,11.083682
South Korea,KOR,1970,1.668417
United Kingdom,GBR,1970,11.742706
United States,USA,1970,20.645502
Brazil,BRA,1971,1.050008
Canada,CAN,1971,16.217147
China,CHN,1971,1.029757
France,FRA,1971,9.052077
Germany,DEU,1971,13.164565
India,IND,1971,0.338464
Italy,ITA,1971,5.772035
Japan,JPN,1971,7.48442
Russia,RUS,1971,11.701269
South Korea,KOR,1971,1.782283
United Kingdom,GBR,1971,11.845742
United States,USA,1971,20.584854
Brazil,BRA,1972,1.141753
Canada,CAN,1972,17.25202
China,CHN,1972,1.068325
France,FRA,1972,9.337986
Germany,DEU,1972,13.199659
India,IND,1972,0.349843
Italy,ITA,1972,6.049458
Japan,JPN,1972,7.892221
Russia,RUS,1972,12.245674
South Korea,KOR,1972,1.798947
United Kingdom,GBR,1972,11.594261
United States,USA,1972,21.374092
Brazil,BRA,1973,1.291032
Canada,CAN,1973,17.009353
China,CHN,1973,1.085624
France,FRA,1973,9.956566
Germany,DEU,1973,13.755337
India,IND,1973,0.351993
Italy,ITA,1973,6.469347
Japan,JPN,1973,8.347247
Russia,RUS,1973,12.692512
South Korea,KOR,1973,2.138311
United Kingdom,GBR,1973,11.776905
United States,USA,1973,22.132513
Brazil,BRA,1974,1.365035
Canada,CAN,1974,17.128515
China,CHN,1974,1.084341
France,FRA,1974,9.549217
Germany,DEU,1974,13.46755
India,IND,1974,0.355004
Italy,ITA,1974,6.51867
Japan,JPN,1974,8.235292
Russia,RUS,1974,13.101614
South Korea,KOR,1974,2.174551
United Kingdom,GBR,1974,11.003064
United States,USA,1974,21.154495
Brazil,BRA,1975,1.403836
Canada,CAN,1975,17.206849
China,CHN,1975,1.23305
France,FRA,1975,8.497944
Germany,DEU,1975,12.712335
India,IND,1975,0.376364
Italy,ITA,1975,6.171223
Japan,JPN,1975,7.726076
Russia,RUS,1975,13.692726
South Korea,KOR,1975,2.311654
United Kingdom,GBR,1975,10.743115
United States,USA,1975,20.087525
Brazil,BRA,1976,1.406291
Canada,CAN,1976,17.081823
China,CHN,1976,1.263375
France,FRA,1976,9.564362
Germany,DEU,1976,13.846266
India,IND,1976,0.384342
Italy,ITA,1976,6.586404
Japan,JPN,1976,7.979885
Russia,RUS,1976,14.135874
South Korea,KOR,1976,2.595036
United Kingdom,GBR,1976,10.65221
United States,USA,1976,20.838806
Brazil,BRA,1977,1.441657
